uid	gender	age	occupation	seq
3931	0	1	4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2527,2262,2380,2660,2235,2557,3027,2623,2366,2826,2198,2435,3383,2650,3184
1276	0	3	0	1196,808,503,2406,3329,1091,958,1122,1102,1184,1179,1710,246,971,951,3085,1114,753,994,1401,998,1292,999,1420,1006,1138,1107,1054,145,3267,700,1033,840,1387,2838,750,2680,3145,1741,1571,1457,1151,2068,45,1456,1115,2814,2857,3201,1168,1065,1060,180,2735,2047,2013,1037,1071,1144,2747,919,1225,1684,2014,1685,953,1044,3153,1129,2986,1689,970,2822,2593,1686,2470,1747,2890,1749,2758,3296,1084,1674,1080,2949,2051,1479,793,1040,1078,2984,3042,843,1103,567,1079,565,3412,954,1136
5760	1	5	20	829,1659,1098,2821,1371,2548,2540,2650,562,900,841,2632,533,902,2223,3105,330,1886,120,898,1580,2,2104,839,1128,1678,1641,2166,2828,2703,468,1027,1111,675,645,2811,3027,924,2024,1636,2899,564,2095,1483,510,17,1110,140,2202,2757,1456,1463,2718,283,491,2762,39,1613,2885,189,986,2366,484,2004,1533,323,1426,2136,2135,2891,451,724,1188,3083,1071,854,300,28,1040,819,2005,2990,1680,1049,1685,1095,1074,1032,1174,1225,2633,789,2594,1191,803,1457,1151,338,422,1825
1823	0	1	4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730,1834,564,1407,98,3490,3373,3480,3173,2949,2843
1835	1	6	7	2340,1375,2583,3299,3383,456,3297,3512,1207,1045,2062,1097,1693,2224,1209,1056,2318,1510,1736,1334,2154,3138,3294,1748,2827,857,994,2227,3507,2223,2246,3296,1738,1371,2153,402,1205,1368,2728,1606,2569,1436,1842,2222,2339,2335,1208,75,2692,2341,902,2319,1771,298,1830,702,1459,2225,2691,418,2106,1157,2092,310,1204,1739,313,1345,1473,2343,2350,3503,1222,753,2336,1529,2226,2295,2063,3370,2221,2396,1206,2649,1566,2155,1612,1058,1096,793,1065,1407,1111,576,2435,963,792,564,1927,3234
4061	1	5	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,3252,1207,1043,1148,3391,2802,1727,3404,2616,2419,1500,3211,2827,3355,951,1906,3229,1728,3234,3224,2738,915,702,3370,3217,3230
819	1	4	2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,2014,801,2154,107,1052,812,759,1067,564,2603,570,1137,1681,949
149	0	2	20	417,45,1043,1151,1955,809,1747,2633,205,1457,1062,1057,1825,2105,1134,1870,3092,974,1213,1130,2478,962,3135,1968,2202,1004,2477,1225,999,1080,2740,3039,1148,2986,953,2585,2730,1132,2582,1048,1129,1696,1087,1326,1101,2280,1869,2698,1727,2470,1081,1446,1066,3399,326,3066,537,955,3162,1875,662,133,3307,2070,2335,1834,707,614,1404,1300,1634,2213,2954,3447,679,246,1060,3297,1052,2224,2691,1736,2223,624,1141,2541,1886,1918,759,1071,977,1144,1078,1095,2746,1040,808,36,2668,1271
853	1	3	7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,3249,3480,3529,3528,3531,3449,1195,1075,2050,144,1385,3109,1680,917,3324,2984,2987,2265,1059,3149,2527,2283,2534,2019,2660,2024,1223,2305,2095,3465,180,2635,1968,3176,1071,503,1040,674,1065,797,3115,1044,792,2637,3047,1060,1052,107,1136,233,1269,999,1789,279,50,3384,3373,3027,2926,3178,3445,3166,3146,2932,2949,3126,2951,2936
778	1	1	19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860,1040,503,2380,2527,1727,1728,2648,3334,3062,106,2261,919,2904,433,2368,2906,2234,2934,358,108,2548,1334,771,153,1597,1368,875,1892,2304,1255,2271,2034,334,44,1388,3225,605,1729,1217,1470,1589,1646,2549,1464,2022,3070,271,9,2481,634,746,618,194,2480
782	1	1	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,2468,2527,992,2360,2660,2370,2384,212,2235,2851,2623,2390,3184,707,3345,2397,2198,1740,2186,3346,2095,2375,2435,3383,1042,246,2261,561,3085,679,1056,1060,1046,2477,1043,1103,2585
3258	0	2	4	876,1420,220,1502,1483,1642,184,2828,16,1465,2885,514,1644,484,1401,1503,2803,1115,940,2474,482,2800,967,1419,285,1298,1896,2762,1224,693,562,471,759,1067,107,1075,1054,1040,999,3155,1122,246,3016,951,2461,1138,3267,2335,3373,3146,3184,3412,3027,1053,2821,1091,813,3076,2559,2532,798,1801,1071,2680,1036,1129,2970,1688,1137,1102,1032,2528,1747,2051,1044,2047,1076,1033,1140,2650,919,1457,2893,2006,2784,808,1100,843,2065,811,1050,1168,918,1885,1675,1367,3207,2526,2814,2669
4076	0	4	12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,801,3429,3382,3355,3381,3431,3383,839,792,1113,793,1407,802,1096,831,813,795,960,820,1515,800,3063,1249,2890,1485,759,815,300,503,958,797,848,1040,1120,1086,107,843,1103,576,1681,2885,2977,1078,251,809,1684,1076,3083,1792,1091,1049,3001,2988,1667,279,3252,2586,2694,1107,34
4941	1	3	6	745,1371,1485,756,348,490,568,2021,1472,2903,3307,101,925,1362,1300,349,299,2233,564,140,1042,1855,971,1074,1086,1689,1919,1134,3107,563,2013,2418,2729,989,1130,2096,2043,1839,1947,2173,3093,2069,2595,1067,666,456,2583,330,1733,59,361,898,1352,2297,1351,609,1819,1645,1210,3101,1408,2559,1030,968,2126,1406,492,1222,1268,358,2436,47,1783,1978,2895,151,1398,1368,1203,740,2034,3391,3318,3401,3317,3327,3328,3399,1922,2434,2527,322,1640,829,1981,3024,450,1004,220,2660
1949	1	5	13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,2222,3527,3508,3509,3507,3512,3510,3497,3344,3146,1195,759,3053,1746,812,3324,811,1058,924,801,1092,1075,2683,2771,797,1111
5617	1	1	0	0,0,0,0,0,0,0,0,0,2386,793,2668,2434,2663,498,2527,2019,2283,1407,2689,3084,1096,2748,1074,1680,1063,2771,289,1071,2869,815,2576,1036,517,511,1955,36,860,1655,813,1456,2375,1043,2680,1992,1340,422,1,792,1179,3042,2395,1027,2559,2095,954,2014,1124,1068,564,1302,1046,290,485,1864,1994,928,1869,2885,1724,1192,2355,968,2036,2021,223,2814,912,302,3036,117,755,679,1052,2987,3164,3156,2435,2780,2288,2575,29,2284,1296,1490,566,1118,1745,345,1821
1359	0	4	5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,1044,2651,1913,2527,2660,3127,2576,2667,2132,967,3153,2530,2390,802,707,2270,2408,2865,3123,2282,2095,2183,2435,2375,1795,2650,251,17,1109,338,1035,39,225,1191,2983,416,1833,1850,1354,358,337,1426,2765
3765	1	2	12	0,0,0,0,0,0,0,0,0,0,0,0,87,2177,1689,2801,2810,2558,2826,2935,2527,337,1,490,253,2830,3126,3375,3345,348,2307,710,1648,2,1371,1061,2261,456,561,1649,32,2827,1375,1227,1334,2583,1368,1436,1637,411,1459,702,310,1606,1645,298,106,1755,2559,151,604,1067,2914,1044,246,1046,759,2904,1042,1047,1043,919,1068,1135,1727,3184,1640,3383,1084,21,1056,2956,2660,2236,1313,1651,212,2375,1424,417,2094,101,2892,1613,1326,2711,2383,170,1528,940
3974	1	3	7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,456,707,1148,1132,2637,314,253,2889,1044,2540,949,3053,576,246,951,971,1114,1084,107,1755,1086,1107,3062,2801,3184,3146,2090,1218,919,1129,1727,2464,1825,1102,2857,2758,2648,2102,2468,2074,3136,2043,2110,2384,1213,2360,1740,1286,2987,2761,1497,2888,219,2691,3025,1674,3375,2828,3480,1724,2215,2954,2035,3528,1869
1864	1	5	17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,1042,107,358,1114,1204,1168,476,1689,1641,1128,3509,561,2527,1113,2464,106,3508,1885,1456,2814,2335,1693,3497,2465,3146,500,1345,565,3344,2771,1745,1,1821,905,1126,567,2650,1805,1810,1806,2375,912
1200	1	6	13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730,813,1659,3344,2748,2732,3119,3267,3457,1127,3382,1147,2540,246
4612	0	2	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1067,1088,1075,3216,3153,951,2660,2576,1299,2703,2068,2527,759,1111,801,1036,564,107,1060,232,1680,1385,50,576,503,1091,2984,152,963,1857,166,1059,1148,2406,968,2283,25,924,2637
2334	0	3	14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,564,2070,3346,3027,3124,3185,2814,3145,3165,2825,3028,2980,2923,3097,3348,2981,3225,2948,3388,2912
4087	1	3	17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,759,999,964,1054,503,1138,1042,1116,1086,1046,1068,1655,1688,1107,1755,968,2694,337,1056
5632	1	2	0	1732,1899,528,2236,1057,1112,912,2656,473,416,1979,2652,490,1375,1107,1179,893,2894,3119,1833,1839,484,666,2771,2869,1067,1737,2660,1020,1120,517,29,1110,2200,2588,286,252,1212,1211,2177,2056,3082,1239,1090,34,2850,117,2985,1137,3042,276,451,1955,2765,1149,2586,3137,1994,2386,2755,1943,2757,1408,1974,964,2013,1571,61,1123,1115,1728,2119,3194,346,1150,47,1313,1380,1103,1,2857,1340,1101,1446,3162,1875,2004,1967,361,3068,1061,1859,2335,2699,2233,304,1952,3221,1147,1119
3563	1	2	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311,2297,456,2527,2498,2380,2054,2396,212,2036,2354,2393,2712,2774,2811,2511,2650,1043,1422,1728,3353,2838,1362,1413,2738,239,2922,2915,227,246,1086,1047,2611,2261,1084,1068,106,1056,2541,563,1892,578,3138,1459,3334,1918,358,1378,2307,974,1211,999,3039,34,2390,953,1129,1899,2857,1446,2585,3137,1151,2698,3162,1836,1806,1730
3359	1	3	20	1091,813,1691,570,2611,1857,2614,1055,2403,911,2672,3076,2618,2224,1168,2532,3069,627,3105,2526,1417,2587,450,1747,1954,2634,1079,968,879,2470,1128,2696,858,3066,2516,2068,718,1939,1931,834,796,794,3143,944,1936,1113,3232,1827,1125,2754,840,835,2719,824,2988,1097,793,792,819,2058,1104,2405,801,1053,2326,1050,744,1667,2940,3084,567,2065,1060,808,565,2002,3336,838,2990,976,807,1767,1662,791,612,1657,2963,1935,3209,1424,560,2051,1246,2821,1929,566,3168,1483,2631,1994
4345	1	1	4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,300,1483,106,2527,337,50,2261,528,1285,1109,2802,2052,666,487,2889,68,469,941,2186,1651,165,740,1533,3068,1606,1326,101,1465,2375,707,16,1739,1528,1570,2436,1849,1545,1352,2233,2370,2198,1613,275,702,2380,2381,2360,2770,2623,2286
1207	1	1	0	1816,1381,1529,2147,1764,2149,2320,1051,3021,2321,1,598,3039,1727,2841,1122,1803,1138,3066,1103,2765,2660,1109,2470,1509,476,2464,3162,3016,2698,1533,903,1899,557,348,3017,361,2894,1141,3194,1300,1730,2004,3334,2169,1825,1859,893,1875,3018,2744,133,1728,2886,1528,3399,1849,1221,1500,1866,2115,2443,707,2073,2897,3288,904,1316,3211,1549,490,539,719,1895,1729,1486,386,492,2275,1187,496,3008,2049,738,1472,3433,442,2391,1482,101,1639,2170,127,2882,1807,1741,623,747,2467,38
5100	1	5	0	1109,1122,3039,1083,1079,3042,1899,810,2582,223,1023,1615,1103,2761,2532,1280,1326,3211,2585,822,2986,1827,1151,2892,2730,2375,1560,2849,2613,2468,2696,2857,951,1789,526,1125,911,2765,2943,2698,2021,3118,1833,1509,1693,2711,1950,800,1651,3162,1834,804,1805,841,3069,2051,348,2452,2942,21,952,2756,101,1742,1825,2122,1696,2060,447,2848,2162,2894,2826,1371,1644,756,955,2419,1486,1803,1954,559,3194,337,133,3066,3068,476,2902,1533,3111,3217,1779,1880,568,1858,2233,2536,2123,1686
5567	1	1	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307,106,1696,1407,3211,276,47,50,963,576,530,407,1497,917,1981,508,22,564,503,279,2024,2814,251,34,1755,1483,140,2029,3036,2802,16,1285,1475,2126,484,1985,1491,593,986,235,1422,404,967,432,2354
3458	1	1	7	503,300,576,808,2056,1053,279,865,1747,1420,1030,700,3036,1115,2024,3178,3137,211,1497,562,218,1591,1380,2015,592,896,1200,2809,4,1485,2583,605,666,3221,3166,2272,1622,39,1752,50,2090,1235,1569,1637,1428,1981,2020,3110,717,1176,1615,1694,473,1651,1613,2894,1326,361,1625,760,558,1067,1012,2360,106,2740,1721,2112,566,560,1466,2736,251,1461,3480,2660,3485,3027,2395,3528,3490,2711,1129,2059,1465,1456,1413,1407,2166,3476,2368,1035,949,2949,2982,3494,3491,1732,1899,2448
71	1	1	4	2827,562,1061,361,1771,1205,1190,108,1352,666,2397,1459,561,2368,1755,106,2261,1400,433,1334,1203,188,1978,2906,761,1523,1589,2186,1388,2498,1157,1295,2374,2481,3056,920,2856,442,360,3057,634,1895,1004,212,1109,1424,170,1533,337,568,1613,2892,2262,1500,2375,1375,1649,1368,622,2092,2585,1114,1043,1696,1727,1899,2857,2390,919,1046,1068,1135,1044,3298,1084,1209,1056,563,1119,2648,3529,911,707,2335,1204,1207,1728,1830,1051,3062,2069,3454,3162,1806,2744,1141,3066,2692,2391,2711
4589	1	4	15	702,3066,2347,3130,1459,1148,1127,3277,1110,2990,1047,3081,2618,2689,570,528,2100,2564,1055,562,2696,2588,793,50,1096,564,1058,1111,1407,792,1065,3161,107,1093,1931,1092,576,854,433,2491,3053,802,819,1044,1746,759,2573,1135,1043,1131,919,858,1681,1218,2991,1727,21,3036,1919,2614,3184,450,1682,2615,1400,6,563,2156,1783,2052,2541,2761,361,666,974,1398,3355,2224,605,2436,1371,1388,3238,2895,3165,88,1728,2186,330,3323,1203,1352,1981,2102,2297,1077,3324,820,960,1692
1225	0	1	14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,1042,3070,3467,3480,3094,3184,3346,3225,3197
655	1	4	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,1067,1094,106,1103,2527,2615,561,1092,2464,1113,3510,3229,3121,3346,2342,1065,1102,1060,1218,2390,1724,1122,2326,1991,2065,1158,2435,1068,1044,759,1084,246,1046,1042,1755,2541,1056,1148,1086,433,1078,1681,2261,1043,1135,3298,919,1640,1082,812,503,1059,2477,3082,300,1053,1071,1040,813,2672,2011,1089
5828	0	5	1	1203,298,1208,2340,1783,1368,1217,361,1119,1050,1056,1207,2827,959,1802,786,562,456,1190,1771,1733,1061,830,902,1886,2169,59,108,2319,1740,2908,1378,2297,971,2470,233,1899,1863,1779,2,3056,1512,813,679,3085,1990,2342,1084,1097,2106,2153,702,2335,402,1739,24,576,300,564,1094,2752,1040,1053,1678,2763,2689,251,2988,17,3094,2033,1313,2435,2283,2896,2660,1079,2771,794,1035,1075,1114,1020,1109,1138,1122,2477,1136,2390,2532,1955,2095,2986,2582,1151,2464,1113,11,2585,323
3368	1	2	18	746,994,19,325,62,1566,467,2692,2307,2698,3383,517,1510,3303,1209,2092,310,1208,1207,1206,1190,3294,1459,2903,386,560,3296,1473,1158,2466,3301,1054,140,3136,1256,3334,2958,930,559,3528,3496,3344,3094,2527,365,1422,456,1293,484,3308,2052,3082,1065,999,43,1696,2585,919,1151,358,3085,1135,1086,2615,1218,2029,3480,625,2100,1082,3235,1114,1143,971,1375,992,964,568,1043,2755,2154,2632,3119,1721,1636,1727,752,2857,1090,3532,45,2235,3138,3439,1129,10,1436,339,1217,403
1189	0	2	1	2132,1941,1368,2900,702,14,2780,271,252,2307,1409,2764,966,3044,430,540,1255,350,1644,2360,3217,2888,558,605,444,2384,2913,363,3043,705,275,1606,1210,464,2000,2903,1352,457,1545,2897,193,1322,1495,2715,2092,2266,1345,2252,2201,31,3101,346,1137,1684,1683,949,2169,759,1067,999,1673,812,1116,1681,817,819,1178,1129,1792,912,1334,1204,1841,2268,2984,2014,1830,992,1863,1523,797,2890,1119,2758,1050,788,1133,1040,1127,839,3114,805,971,2614,2470,822,2653,1208,1779,3532
1966	1	2	17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,1044,3225,3027,3346,966,605,493,2828,2698,1727,1400,2261,106,3165,2895,1084,433,2771,1810,1,1805,2363,1362,1636
4727	1	1	4	3006,106,1224,6,1313,2576,318,1640,433,560,2559,1651,2021,47,562,1424,450,2802,1994,407,1236,2895,72,2827,2894,707,1061,1422,2889,348,1173,1334,11,2548,137,349,108,941,2360,2738,1849,10,1205,334,239,386,2384,206,325,1646,1739,910,252,1894,3184,2949,1042,517,1043,2986,1114,1086,1135,2390,1207,1046,1727,971,953,1056,2464,1689,2477,1209,2541,1119,1068,2585,1066,964,1118,2650,1899,563,992,1825,1090,1738,1886,3017,3030,1141,1728,1869,1142,1865,2319,2692,1695,1830
241	1	3	16	2850,1755,808,564,1074,3025,1107,2477,107,1059,1053,2402,843,1103,1076,1049,1678,1068,1137,1131,106,1457,2802,3042,1666,3457,1688,140,833,1465,21,2541,2623,2535,3252,842,2720,1682,972,2975,1919,2765,2014,484,1380,3280,2173,3230,3317,1671,999,3202,2771,1075,1043,1136,954,2461,3069,1113,1100,1122,1849,841,2532,3424,2054,1313,844,1803,1805,473,3118,560,1861,433,2611,1128,1111,1106,1098,1050,949,1748,1065,2326,1174,2332,1158,2311,1181,1110,3119,1127,2990,3099,1116,2724,1974,793
584	0	3	6	1241,1407,3047,2527,459,1269,50,1479,503,232,1188,2368,2435,2771,576,2265,2559,233,2576,2630,1110,36,1483,924,432,2669,2757,1980,2269,1502,25,554,765,2740,1630,1349,152,1027,751,291,1498,968,1223,140,1,785,2736,1271,1109,2019,1994,2029,2236,505,369,2668,34,180,1366,1533,2619,1124,119,1311,79,223,606,511,1456,1432,318,2918,1536,212,2579,1615,1509,2090,96,2198,691,39,1191,477,1433,2126,1343,526,1424,1466,2136,1500,2033,322,1375,1436,2552,301,1694,1019
3481	1	2	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,1040,426,484,1056,3415,3388,3312,964,1218,1727,2054,2803,276,1413,2224,2802,702,1728,3238,457,410,1729,3423,2527
